text,font_size,bold,page,x,y,is_upper,is_title_case,is_numbered,label
0,18.43,True,1,105.95999908447266,496.44293212890625,False,True,True,body
50,18.43,True,1,95.63999938964844,422.282958984375,False,True,True,body
100,18.43,True,1,85.31999969482422,348.0029296875,False,True,True,body
150,18.43,True,1,85.31999969482422,273.7229309082031,False,True,True,body
200,18.43,True,1,85.31999969482422,199.20294189453125,False,True,True,body
250,18.43,True,1,85.31999969482422,124.92293548583984,False,True,True,body
CHAPTER 11 FILINGS,24.48,True,1,53.92687225341797,192.83595275878906,True,False,False,body
19941995199619971998199920002001200220032004CALENDAR YEAR,15.91,True,1,138.47999572753906,513.2210693359375,True,False,True,body
216,16.78,True,1,141.47999572753906,164.4564666748047,False,True,True,body
178166,16.78,True,1,196.07998657226562,220.85646057128906,False,True,True,body
134,16.78,True,1,305.3999938964844,286.2564697265625,False,True,True,body
97907988,16.78,True,1,364.67999267578125,341.33648681640625,False,True,True,body
125,16.78,True,1,578.5199584960938,299.81646728515625,False,True,True,body
103,16.78,True,1,633.239990234375,332.2164611816406,False,True,True,body
84,16.78,True,1,692.52001953125,360.5364685058594,False,True,True,body
CHAPTER 11 FILINGS IN CONNECTICUTCALENDAR YEARS   1994 --  2004,22.97,True,1,162.47999572753906,40.96686553955078,True,False,False,body
