pdf,page,x0,y0,x1,y1,text,is_all_caps,is_title_case,is_numbered,has_colon,has_bullet,length,word_count,avg_font_size,most_common_font,is_bold,is_italic,rel_font_size,is_centered,space_before,space_after
business_report_19.pdf,1,179.27000427246094,35.75000762939453,444.35589599609375,60.5360107421875,Salesforce Annual Report 2024,0,1,0,0,0,29,4,18.0,Helvetica-Bold,1,0,1.3269230769230769,0,35.75000762939453,40.53398895263672
business_report_19.pdf,1,31.190000534057617,101.06999969482422,183.25399780273438,123.10200500488281,Executive Summary,0,1,0,0,0,17,2,16.0,Helvetica-Bold,1,0,1.1794871794871795,0,40.53398895263672,20.488021850585938
business_report_19.pdf,1,31.190000534057617,143.59002685546875,197.47799682617188,165.6220245361328,1. Company Overview,0,1,1,0,0,19,3,16.0,Helvetica-Bold,1,0,1.1794871794871795,0,20.488021850585938,19.188018798828125
business_report_19.pdf,1,31.190000534057617,184.81004333496094,161.1240234375,204.08804321289062,1.1 Business Model,0,1,1,0,0,18,3,14.0,Helvetica-Bold,1,0,1.0320512820512822,0,19.188018798828125,9.1319580078125
business_report_19.pdf,1,31.190000534057617,213.22000122070312,456.70989990234375,229.70799255371094,Detailed content for 1.1 business model with relevant information and examples.,0,0,0,0,0,79,11,12.0,Helvetica,0,0,0.8846153846153846,0,9.1319580078125,8.9620361328125
business_report_19.pdf,1,31.190000534057617,238.67002868652344,158.78602600097656,257.9480285644531,1.2 Market Position,0,1,1,0,0,19,3,14.0,Helvetica-Bold,1,0,1.0320512820512822,0,8.9620361328125,9.13201904296875
business_report_19.pdf,1,31.190000534057617,267.0800476074219,454.7059326171875,283.56805419921875,Detailed content for 1.2 market position with relevant information and examples.,0,0,0,0,0,80,11,12.0,Helvetica,0,0,0.8846153846153846,0,9.13201904296875,6.901947021484375
business_report_19.pdf,1,31.190000534057617,290.4700012207031,195.19798278808594,308.3710021972656,1.2.1 Competitive Analysis,0,1,1,0,0,26,3,13.0,Helvetica-Bold,1,0,0.9583333333333334,0,6.901947021484375,4.06903076171875
business_report_19.pdf,1,31.190000534057617,312.4400329589844,490.7178955078125,328.92803955078125,Detailed content for 1.2.1 competitive analysis with relevant information and examples.,0,0,0,0,0,87,11,12.0,Helvetica,0,0,0.8846153846153846,0,4.06903076171875,6.8919677734375
business_report_19.pdf,1,31.190000534057617,335.82000732421875,145.35601806640625,353.72100830078125,1.2.2 Market Share,0,1,1,0,0,18,3,13.0,Helvetica-Bold,1,0,0.9583333333333334,0,6.8919677734375,4.069000244140625
business_report_19.pdf,1,31.190000534057617,357.7900085449219,453.3739318847656,374.27801513671875,Detailed content for 1.2.2 market share with relevant information and examples.,0,0,0,0,0,79,11,12.0,Helvetica,0,0,0.8846153846153846,0,4.069000244140625,10.25201416015625
business_report_19.pdf,1,31.190000534057617,384.530029296875,220.59800720214844,406.56201171875,2. Financial Performance,0,1,1,0,0,24,3,16.0,Helvetica-Bold,1,0,1.1794871794871795,0,10.25201416015625,19.197998046875
business_report_19.pdf,1,31.190000534057617,425.760009765625,174.36801147460938,445.03802490234375,2.1 Revenue Analysis,0,1,1,0,0,20,3,14.0,Helvetica-Bold,1,0,1.0320512820512822,0,19.197998046875,9.131988525390625
business_report_19.pdf,1,31.190000534057617,454.1700134277344,463.38189697265625,470.65802001953125,Detailed content for 2.1 revenue analysis with relevant information and examples.,0,0,0,0,0,81,11,12.0,Helvetica,0,0,0.8846153846153846,0,9.131988525390625,8.96197509765625
business_report_19.pdf,1,31.190000534057617,479.6199951171875,184.46200561523438,498.89801025390625,2.2 Profitability Metrics,0,1,1,0,0,25,3,14.0,Helvetica-Bold,1,0,1.0320512820512822,0,8.96197509765625,9.132049560546875
business_report_19.pdf,1,31.190000534057617,508.0300598144531,472.69390869140625,524.51806640625,Detailed content for 2.2 profitability metrics with relevant information and examples.,0,0,0,0,0,86,11,12.0,Helvetica,0,0,0.8846153846153846,0,9.132049560546875,6.8919677734375
